node,traffic
Machine learning,148396
Outline of machine learning,3053
80 Million Tiny Images,692
A Logical Calculus of the Ideas Immanent in Nervous Activity,1741
Accelerated Linear Algebra,2937
Action model learning,727
Active learning (machine learning),5558
Adversarial machine learning,7275
AIOps,2796
AIXI,2198
Algorithm selection,376
Algorithmic bias,12372
Algorithmic inference,615
Anomaly detection,8808
Aporia (company),1119
Apprenticeship learning,2197
Artificial intelligence in hiring,1991
Astrostatistics,454
Attention (machine learning),23234
Audio inpainting,373
Automated decision-making,2466
Automated machine learning,3895
Automation in construction,902
Bag-of-words model,8741
Ball tree,1449
Base rate,1488
Bayesian interpretation of kernel regularization,1096
Bayesian learning mechanisms,552
Bayesian optimization,7993
Bayesian regret,976
Bayesian structural time series,1179
Bias–variance tradeoff,17248
Binary classification,4237
Bioserenity,797
Bradley–Terry model,6142
Category utility,181
CIML community portal,423
Claude (language model),80842
Cognitive robotics,1366
Concept drift,3779
Conditional random field,3343
Confusion matrix,28326
Contrastive Language-Image Pre-training,5413
Cost-sensitive machine learning,589
Coupled pattern learner,155
Cross-entropy method,1946
Cross-validation (statistics),16953
Curse of dimensionality,12989
Data augmentation,4651
Data exploration,1050
Data preprocessing,1924
Data-driven astronomy,133
Data-driven model,1120
Decision list,906
Decision tree pruning,2332
Deep tomographic reconstruction,505
Developmental robotics,1741
Discovery system (artificial intelligence),941
Document classification,2673
Domain adaptation,2205
Double descent,5428
Eager learning,536
EfficientNet,2893
ELMo,1893
EM algorithm and GMM model,873
Embedding (machine learning),3745
Empirical dynamic modeling,528
Empirical risk minimization,4914
Energy-based model,2635
Equalized odds,585
Evaluation of binary classifiers,2433
Evolvability (computer science),160
Expectation propagation,502
Explanation-based learning,651
Exploration–exploitation dilemma,5867
Fairness (machine learning),3647
Feature (machine learning),4229
Feature engineering,5449
Feature hashing,1804
Feature learning,4684
Feature scaling,7051
Federated learning,11309
Fine-tuning (deep learning),6506
Flow-based generative model,3266
Flux (machine-learning framework),2029
Force control,816
Formal concept analysis,2272
Generative artificial intelligence,128494
Generative model,8370
Geometric feature learning,696
Glossary of artificial intelligence,9051
Google Colab,9723
Google Research,320
Granular computing,520
Grokking (machine learning),4895
H (company),1587
Hallucination (artificial intelligence),54317
Hidden layer,2072
Hierarchical navigable small world,5419
Hierarchical Risk Parity,1917
Highway network,1934
Hugging Face,28942
Human-in-the-loop,9116
Hyperparameter (machine learning),5642
Hyperparameter optimization,14024
In-context learning (natural language processing),789
Inauthentic text,164
Inception score,1216
Inductive bias,5015
Inductive probability,1245
Inductive programming,1867
Inferential theory of learning,189
Instance selection,467
Instance-based learning,1084
Intelligent automation,1471
Isotropic position,682
JAX (software),6383
Journal of Machine Learning Research,2107
Kernel density estimation,16789
Kernel embedding of distributions,2113
Knowledge graph embedding,2525
Knowledge integration,520
Kolmogorov-Arnold Networks,1630
Labeled data,4014
LaBSE,265
Lazy learning,883
Leakage (machine learning),3158
Learnable function class,313
Learning automaton,357
Learning curve (machine learning),2612
Learning rate,4009
Learning to rank,5110
Life-time of correlation,503
Linear predictor function,1475
Linear separability,2207
List of data science software,2182
Local case-control sampling,801
Lottery ticket hypothesis,939
Lyra (codec),2210
M-theory (learning framework),639
Machine Learning (journal),2339
Machine Learning and Knowledge Extraction,310
Machine learning control,846
Machine learning in bioinformatics,2910
Machine learning in earth sciences,1555
Machine learning in physics,2052
Machine learning in video games,1163
Machine unlearning,1516
Machine-learned interatomic potential,969
Manifold hypothesis,4219
Manifold regularization,685
The Master Algorithm,1434
Matchbox Educable Noughts and Crosses Engine,2244
Matrix regularization,795
Maximum inner-product search,524
Mechanistic interpretability,4641
Meta-Labeling,794
Meta-learning (computer science),3866
MLOps,6688
MobileNet,3561
Mode collapse,2220
Model compression,948
Mountain car problem,434
Multi-armed bandit,15715
Multi-task learning,4087
Multimodal representation learning,947
Multimodal sentiment analysis,830
Multiple instance learning,1288
Multiple-instance learning,498
Multiplicative weight update method,2779
Multitask optimization,197
Multivariate adaptive regression spline,2362
Native-language identification,443
Nature Machine Intelligence,1550
Neural modeling fields,746
Neural network quantum states,995
Normalization (machine learning),3064
Novelty detection,414
Offline learning,657
Optuna,498
Overfitting,11586
Paraphrasing (computational linguistics),1079
Parity learning,481
Pattern language (formal languages),805
Pattern recognition,10387
Perceiver,999
PHerc. Paris. 4,504
Phi coefficient,4651
Predictive learning,858
Predictive state representation,298
Preference learning,537
Prior knowledge for pattern recognition,367
Proactive learning,220
Proaftn,149
Probabilistic numerics,680
Probability matching,1011
Product of experts,691
Products and applications of OpenAI,5938
Programming by example,660
Prompt engineering,33307
Proximal gradient methods for learning,1119
Purged cross-validation,281
Pythia (machine learning),259
Quantification (machine learning),236
Quantum machine learning,7547
Rabbit r1,6954
Rademacher complexity,2303
Random feature,843
Reasoning language model,6051
Reciprocal human machine learning,305
Relational data mining,142
Reparameterization trick,2144
Right to explanation,1533
Robot learning,963
Robotic process automation,13244
ROCm,8026
Rule induction,597
Sample complexity,1108
Science machine learning,192
Self-supervised learning,9926
Semantic analysis (machine learning),2230
Semantic folding,322
Semi-supervised learning,2256
Sequence labeling,329
Similarity learning,1128
Socially assistive robot,223
Lynda Soderholm,104
Solomonoff's theory of inductive inference,2684
Spatial embedding,361
Spike-and-slab regression,938
Stability (learning theory),709
Statistical learning theory,3860
Statistical relational learning,599
Structural risk minimization,470
Structured sparsity regularization,584
Surrogate model,3891
Symbolic regression,3769
Tensor (machine learning),4249
TensorFlow Hub,152
Three-factor learning,285
Time series,19559
Timeline of machine learning,6045
Toronto Declaration,241
Transduction (machine learning),1711
Transfer learning,7126
Ugly duckling theorem,1101
Uncertain data,232
Under-fitting,27
Underfitting,89
Uniform convergence in probability,493
Universal portfolio algorithm,307
Upper Confidence Bound,414
VACUUM,150
Validation set,147
Vector database,13940
Version space learning,521
Weak supervision,4691
Weight initialization,4518
